dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
madelon,500,2080,2,shallow_rff,0.8481,0.848,0.8946,0.5365,0.5339,0.5623,0.326,2026-06-24T05:43:20.430958
madelon,500,2080,2,mlp,0.9601,0.9601,0.9887,0.5692,0.5687,0.6026,2.147,2026-06-24T05:43:22.691046
madelon,500,2080,2,rbf_exact,1.0,1.0,1.0,0.5865,0.5857,0.6259,0.636,2026-06-24T05:43:25.876287
madelon,500,2080,2,arch_proposed,0.6053,0.6047,0.6384,0.5423,0.5418,0.548,0.863,2026-06-24T05:43:35.742779
electricity,14,36250,0,linear_svm,0.7597,0.7445,0.8276,0.7548,0.7377,0.8261,0.084,2026-06-24T05:43:36.111536
electricity,14,36250,0,grad_boost,0.9271,0.9253,0.9816,0.9039,0.9014,0.9681,0.657,2026-06-24T05:43:37.150280
electricity,14,36250,0,shallow_rff,0.7908,0.7821,0.8627,0.7838,0.7742,0.8591,1.838,2026-06-24T05:43:41.030404
electricity,14,36250,0,mlp,0.8706,0.8665,0.9465,0.8399,0.8344,0.9205,39.056,2026-06-24T05:44:20.915534
electricity,14,36250,0,rbf_exact,0.8132,0.8054,0.8904,0.8059,0.7972,0.881,21.376,2026-06-24T05:45:29.143797
electricity,14,36250,0,arch_proposed,0.8257,0.8203,0.9049,0.8135,0.8071,0.8885,65.089,2026-06-24T05:48:39.550591
electricity,14,36250,1,linear_svm,0.7588,0.7436,0.8266,0.7593,0.7434,0.8305,0.079,2026-06-24T05:48:40.305242
electricity,14,36250,1,grad_boost,0.9265,0.9246,0.9817,0.9,0.8974,0.9676,0.649,2026-06-24T05:48:41.343851
electricity,14,36250,1,shallow_rff,0.7857,0.7724,0.8592,0.7875,0.7737,0.8578,1.914,2026-06-24T05:48:45.349656
electricity,14,36250,1,mlp,0.871,0.8677,0.9457,0.8431,0.8386,0.9211,41.718,2026-06-24T05:49:27.867072
electricity,14,36250,1,rbf_exact,0.8122,0.8042,0.8902,0.8098,0.8011,0.8823,21.172,2026-06-24T05:50:35.489578
electricity,14,36250,1,arch_proposed,0.826,0.8205,0.9074,0.8115,0.8049,0.8917,78.96,2026-06-24T05:54:00.597859
electricity,14,36250,2,linear_svm,0.7573,0.7418,0.8268,0.7626,0.747,0.8295,0.082,2026-06-24T05:54:01.453173
electricity,14,36250,2,grad_boost,0.9257,0.9239,0.981,0.9047,0.9023,0.9676,0.638,2026-06-24T05:54:02.473611
electricity,14,36250,2,shallow_rff,0.7897,0.7806,0.8629,0.79,0.7806,0.8625,1.952,2026-06-24T05:54:06.447296
electricity,14,36250,2,mlp,0.8819,0.8788,0.955,0.8497,0.8457,0.9266,50.262,2026-06-24T05:54:57.498386
electricity,14,36250,2,rbf_exact,0.8121,0.8042,0.8899,0.8088,0.8005,0.8841,21.465,2026-06-24T05:56:05.727331
